Business Name,Category,City,State/Province,Country,Phone,Contact Name,Notes
"Al's Auto Repair",Auto Repair,Fresno,California,USA,(559) 482-3917,Al Mendoza,Family-run shop since 1987. Facebook only.
"Sunrise Bakery",Bakery,Saskatoon,Saskatchewan,Canada,(306) 374-8821,Priya Anand,Listed on Google Maps. No website.
"Green Valley Farm",Farm/Agriculture,Abbotsford,British Columbia,Canada,(604) 850-2234,Tom Kowalski,Sells at local farmers market. No online presence.
"Bella's Nail Studio",Nail Salon,Memphis,Tennessee,USA,(901) 398-7745,Bella Nguyen,Instagram active but no website.
"Riverbend Plumbing",Plumbing,Lethbridge,Alberta,Canada,(403) 328-6619,Dave Sherritt,Word-of-mouth only. No social media.
"Lucky Dragon Restaurant",Restaurant,Biloxi,Mississippi,USA,(228) 374-9901,Jenny Li,Yelp listing only.
"Maple Leaf Landscaping",Landscaping,Barrie,Ontario,Canada,(705) 726-4482,Mike Tremblay,Kijiji ads. No website.
"Coastal Cleaning Co.",Cleaning Services,Myrtle Beach,South Carolina,USA,(843) 448-2256,Sandra Pruitt,Flyer-based marketing only.
"Foothills Dental Clinic",Dentist,Medicine Hat,Alberta,Canada,(403) 526-8830,Dr. Raj Patel,Listed on Yellow Pages. No own website.
"Sam's Hardware",Hardware Store,Duluth,Minnesota,USA,(218) 722-4467,Sam Korhonen,In business 30+ years. No web presence.
"Prairie Wind Daycare",Childcare,Moose Jaw,Saskatchewan,Canada,(306) 693-5521,Karen Buhler,Facebook page only.
"Blue Ridge Roofing",Roofing,Roanoke,Virginia,USA,(540) 342-8834,Josh Pendleton,Craigslist ads only.
"Casa Bonita Taqueria",Restaurant,Tucson,Arizona,USA,(520) 748-9963,Rosa Gutierrez,Yelp + Facebook. No website.
"Urban Threads Alterations",Tailoring/Alterations,Winnipeg,Manitoba,Canada,(204) 783-3347,Mei Lin,Word-of-mouth. No digital presence.
"Summit Electrical",Electrician,Kelowna,British Columbia,Canada,(250) 763-9921,Brad Okanagan,HomeStars profile only.
"Bayou Barber Shop",Barbershop,Baton Rouge,Louisiana,USA,(225) 926-4477,Jerome Williams,Facebook check-ins only.
"Northern Lights HVAC",HVAC,Sudbury,Ontario,Canada,(705) 671-8833,Pete Lafleur,Kijiji and flyers.
"Harvest Moon Organics",Organic Grocery,Burlington,Vermont,USA,(802) 863-5590,Annie Colette,Sells at co-ops and markets only.
